Timestamp,Open,High,Low,Close,Volume
2024-03-22 07:21:00,584.38,584.6,584.38,584.6,34.755
2024-03-22 07:22:00,584.6,584.6,584.6,584.6,0.0
2024-03-22 07:23:00,584.6,584.6,584.6,584.6,0.0
2024-03-22 07:24:00,582.84,582.97,582.0,582.0,5.795
2024-03-22 07:25:00,582.07,582.25,582.07,582.25,0.147
2024-03-22 07:26:00,583.46,583.46,583.42,583.42,0.082
2024-03-22 07:27:00,583.28,583.28,583.14,583.14,17.167
2024-03-22 07:28:00,583.6,583.6,583.6,583.6,0.031
2024-03-22 07:29:00,583.6,583.6,583.6,583.6,0.0
2024-03-22 07:30:00,583.28,583.7,583.28,583.7,4.209
2024-03-22 07:31:00,583.88,584.7,583.88,584.7,9.389
2024-03-22 07:32:00,585.03,585.03,584.67,584.67,0.475
2024-03-22 07:33:00,584.83,584.83,584.82,584.82,6.332
2024-03-22 07:34:00,585.08,585.08,584.87,584.87,0.121
2024-03-22 07:35:00,584.45,584.45,583.83,583.83,1.592
2024-03-22 07:36:00,583.78,586.47,583.78,586.45,22.845
2024-03-22 07:37:00,586.31,586.31,585.24,585.24,6.643
2024-03-22 07:38:00,585.67,585.67,585.14,585.14,3.739
2024-03-22 07:39:00,585.09,585.09,585.09,585.09,0.371
2024-03-22 07:40:00,584.99,585.01,584.99,585.01,0.554
2024-03-22 07:41:00,585.11,585.11,585.05,585.1,58.784
2024-03-22 07:42:00,585.33,585.63,584.33,584.33,7.26
2024-03-22 07:43:00,584.06,584.21,584.06,584.21,1.408
2024-03-22 07:44:00,584.9,584.9,584.9,584.9,4.782
2024-03-22 07:45:00,584.22,584.22,584.22,584.22,0.028
2024-03-22 07:46:00,584.29,584.33,584.29,584.33,5.397
2024-03-22 07:47:00,584.51,584.51,584.51,584.51,0.028
2024-03-22 07:48:00,584.06,584.06,583.65,583.84,4.643
2024-03-22 07:49:00,583.13,583.13,583.13,583.13,0.073
2024-03-22 07:50:00,583.23,583.23,583.23,583.23,0.076
2024-03-22 07:51:00,584.0,584.0,583.51,583.51,37.524
2024-03-22 07:52:00,582.68,582.68,582.09,582.16,57.979
2024-03-22 07:53:00,583.21,583.21,583.2,583.2,1.503
2024-03-22 07:54:00,583.21,583.27,583.21,583.27,9.56
2024-03-22 07:55:00,583.1,583.1,583.1,583.1,3.0
2024-03-22 07:56:00,583.81,583.81,583.81,583.81,0.026
2024-03-22 07:57:00,583.81,583.81,583.81,583.81,0.071
2024-03-22 07:58:00,583.81,583.81,583.81,583.81,0.0
2024-03-22 07:59:00,583.63,583.95,583.63,583.86,0.13
2024-03-22 08:00:00,584.13,584.49,584.13,584.49,2.59
2024-03-22 08:01:00,584.65,584.67,584.65,584.67,2.5
2024-03-22 08:02:00,584.7,585.42,584.65,585.42,10.66
2024-03-22 08:03:00,585.54,585.67,585.54,585.57,30.119
2024-03-22 08:04:00,585.7,585.71,585.56,585.56,0.636
2024-03-22 08:05:00,585.74,585.97,585.74,585.97,0.734
2024-03-22 08:06:00,585.86,585.86,585.83,585.83,0.811
2024-03-22 08:07:00,585.45,585.45,585.23,585.23,17.868
2024-03-22 08:08:00,585.15,585.15,584.27,584.27,0.875
2024-03-22 08:09:00,584.37,584.37,584.36,584.36,0.707
2024-03-22 08:10:00,584.87,584.87,584.87,584.87,1.0
2024-03-22 08:11:00,585.57,585.57,585.57,585.57,1.0
2024-03-22 08:12:00,585.84,585.84,585.84,585.84,0.027
2024-03-22 08:13:00,584.59,584.59,584.59,584.59,5.277
